cityID,time,t,fid,x,y,PC1,PC2,PC3,PC4,co2_norm
0,2000,1,0,116.4104734,40.18506957,-0.815698238,1.536511563,0.988055503,-0.585875485,0.7842410275733435
1,2000,1,1,117.3328025,39.2945395,-0.699717761,1.370033088,-0.051716239,0.451360113,0.44333284504312537
2,2000,1,2,115.0556983,38.8862,1.502045455,1.79861424,-1.087995918,-0.484638475,0.770976074438384
3,2000,1,3,112.2910057,37.57371516,1.053278852,0.998062056,-3.699543872,-0.91915469,0.8287157747373324
4,2000,1,4,111.624073,41.58407166,1.333184257,1.455953183,-3.831734876,-0.643522763,0.3979709263166312
5,2000,1,5,124.0472795,41.55091067,0.78038775,2.855516918,0.049663845,0.7444028,0.8697063674830711
6,2000,1,6,126.1893961,43.66493432,1.145383524,3.722010488,-0.396349383,0.069500154,0.8606019366963261
7,2000,1,7,128.135853,46.95166178,3.650601793,2.546984485,-3.362816498,0.804260552,0.8534958852376887
8,2000,1,8,121.4151598,31.08465728,-0.393448308,-1.791260266,2.148229315,1.40516844,0.5731982536333636
9,2000,1,9,120.5538215,32.20300618,2.625300403,-0.157773763,1.064639735,0.878102832,0.5511418428486418
10,2000,1,10,120.0709758,29.17555776,0.698100519,-0.654342924,-1.605154026,2.842298891,0.9880266288453442
11,2000,1,11,117.2258163,31.82631484,2.724196336,-0.223887637,-1.088836474,0.744901008,0.7768703676053788
12,2000,1,12,117.9817861,26.08380415,0.641097713,-1.128261065,-1.098937981,2.654562252,0.9724050467944781
13,2000,1,13,111.7080139,27.60713887,1.246567214,-1.376320128,-2.470315432,2.803991962,0.9853276262651207
14,2000,1,14,115.7205187,27.61361806,2.183920297,0.881885427,0.840261755,-1.123948359,0.9612841547004989
15,2000,1,15,118.1537918,36.35127141,3.180730765,0.459821727,-0.781666489,-1.249494242,0.6849203643830396
16,2000,1,16,113.6135136,33.88226127,2.558412231,-0.87737807,-0.862223055,0.970387951,0.7885391457743844
17,2000,1,17,112.268591,30.97568911,1.794602381,-0.684622575,-1.782096575,2.824627502,0.8969607112666614
18,2000,1,18,113.4276925,23.71031747,1.188744438,-0.891204642,-0.954963752,2.64557572,0.9284656899921676
19,2000,1,19,108.7866601,23.82858447,1.752937809,-0.693468701,-2.498811868,2.112955778,1
20,2000,1,20,109.74311,19.19713384,0.468151615,-1.565008836,-3.709677591,2.034664418,0.991006851962922
21,2000,1,21,107.8751823,30.05912925,2.56037373,0.677193667,-3.212939889,0.575637129,0.9344115819803038
22,2000,1,22,102.6923498,30.62979532,3.692125628,0.790228153,-1.848664036,0.608689123,0.7963700765599532
23,2000,1,23,106.8741124,26.81589901,2.27438377,0.04530281,-3.727921187,0.061687266,0.9739947533734596
24,2000,1,24,101.861664,24.22399975,2.172281597,0.862131511,-3.165365789,0.555937435,0.943745340191976
25,2000,1,25,88.44235547,31.49119642,-2.301870189,-0.39059373,-3.247654333,-1.786699541,0.4001821678109498
26,2000,1,26,108.367283,33.77575343,2.477099113,1.099328075,-3.242981444,-1.074488411,0.7689260970417987
27,2000,1,27,96.43045075,40.50407365,1.022665494,-0.217428819,-3.589181594,-1.5872545,0.2834344139223863
28,2000,1,28,96.03756481,35.67094527,-1.220826483,-2.327900271,-4.377215601,-2.214633163,0.18525296208224262
29,2000,1,29,105.9722025,37.19338985,0.91634831,0.418985096,-2.342139855,-0.779232672,0.578855281790021
30,2000,1,30,85.19105645,41.11736074,-2.072692841,-1.938233369,1.300867458,-1.109676303,0
0,2005,2,31,116.4104734,40.18506957,-3.657422957,-0.399848168,2.401134088,1.350113866,0.7565221491354958
1,2005,2,32,117.3328025,39.2945395,-3.537927007,-0.17302197,2.564802503,1.682527877,0.42495095901043617
2,2005,2,33,115.0556983,38.8862,0.327908327,1.708889559,-0.236917802,2.588451282,0.7675052978546748
3,2005,2,34,112.2910057,37.57371516,0.455310357,1.742899448,-2.379514027,1.310098941,0.8254571249679531
4,2005,2,35,111.624073,41.58407166,0.003664002,1.06811287,-2.604268974,0.10414934,0.3978830175205866
5,2005,2,36,124.0472795,41.55091067,0.241998647,2.204494397,1.026125179,-0.845575456,0.8673729642461491
6,2005,2,37,126.1893961,43.66493432,1.154420345,3.608638981,-0.61097382,-1.029866962,0.8612740407896377
7,2005,2,38,128.135853,46.95166178,2.680020177,1.766102439,-3.060066196,-0.992196423,0.8558892659417581
8,2005,2,39,121.4151598,31.08465728,-3.156404451,-3.828475468,4.166860928,-1.841805448,0.5072643752778385
