cityID,time,t,fid,x,y,water,PC1,PC2,PC3,PC4,water_norm
0,2000,1,0,116.4104734,40.18506957,362389.4063,-0.815698238,1.536511563,0.988055503,-0.585875485,0.2584781153772932
1,2000,1,1,117.3328025,39.2945395,361196.8438,-0.699717761,1.370033088,-0.051716239,0.451360113,0.2575825292876031
2,2000,1,2,115.0556983,38.8862,373468.625,1.502045455,1.79861424,-1.087995918,-0.484638475,0.2667983452623973
3,2000,1,3,112.2910057,37.57371516,356840.0938,1.053278852,0.998062056,-3.699543872,-0.91915469,0.2543107135997399
4,2000,1,4,111.624073,41.58407166,196240.2344,1.333184257,1.455953183,-3.831734876,-0.643522763,0.1337040367297005
5,2000,1,5,124.0472795,41.55091067,523967.0313,0.78038775,2.855516918,0.049663845,0.7444028,0.379819070970953
6,2000,1,6,126.1893961,43.66493432,528262.125,1.145383524,3.722010488,-0.396349383,0.069500154,0.3830445842431175
7,2000,1,7,128.135853,46.95166178,579040,3.650601793,2.546984485,-3.362816498,0.804260552,0.42117756135251244
8,2000,1,8,121.4151598,31.08465728,217700,-0.393448308,-1.791260266,2.148229315,1.40516844,0.1498198105858885
9,2000,1,9,120.5538215,32.20300618,758519.9375,2.625300403,-0.157773763,1.064639735,0.878102832,0.5559627280867081
10,2000,1,10,120.0709758,29.17555776,846440.0625,0.698100519,-0.654342924,-1.605154026,2.842298891,0.6219886520561564
11,2000,1,11,117.2258163,31.82631484,344220.0313,2.724196336,-0.223887637,-1.088836474,0.744901008,0.2448333466474672
12,2000,1,12,117.9817861,26.08380415,869322.375,0.641097713,-1.128261065,-1.098937981,2.654562252,0.6391727248195896
13,2000,1,13,111.7080139,27.60713887,818544.0625,1.246567214,-1.376320128,-2.470315432,2.803991962,0.6010394191580943
14,2000,1,14,115.7205187,27.61361806,847350,2.183920297,0.881885427,0.840261755,-1.123948359,0.6226719934889847
15,2000,1,15,118.1537918,36.35127141,513888.25,3.180730765,0.459821727,-0.781666489,-1.249494242,0.3722501457923492
16,2000,1,16,113.6135136,33.88226127,460197,2.558412231,-0.87737807,-0.862223055,0.970387951,0.33192929331034193
17,2000,1,17,112.268591,30.97568911,805140,1.794602381,-0.684622575,-1.782096575,2.824627502,0.5909732868418955
18,2000,1,18,113.4276925,23.71031747,1348100,1.188744438,-0.891204642,-0.954963752,2.64557572,0.9987233404098542
19,2000,1,19,108.7866601,23.82858447,649581.9375,1.752937809,-0.693468701,-2.498811868,2.112955778,0.47415287959771024
20,2000,1,20,109.74311,19.19713384,882810.5,0.468151615,-1.565008836,-3.709677591,2.034664418,0.6493019860750806
21,2000,1,21,107.8751823,30.05912925,560582.9375,2.56037373,0.677193667,-3.212939889,0.575637129,0.4073167461486629
22,2000,1,22,102.6923498,30.62979532,238773.7656,3.692125628,0.790228153,-1.848664036,0.608689123,0.16564570761749048
23,2000,1,23,106.8741124,26.81589901,685126.4375,2.27438377,0.04530281,-3.727921187,0.061687266,0.5008459541870839
24,2000,1,24,101.861664,24.22399975,768947.3125,2.172281597,0.862131511,-3.165365789,0.555937435,0.5637934388477646
25,2000,1,25,88.44235547,31.49119642,318341.25,-2.301870189,-0.39059373,-3.247654333,-1.786699541,0.225398997042803
26,2000,1,26,108.367283,33.77575343,380813.4063,2.477099113,1.099328075,-3.242981444,-1.074488411,0.27231410142955503
27,2000,1,27,96.43045075,40.50407365,57099.56641,1.022665494,-0.217428819,-3.589181594,-1.5872545,0.02921270251280781
28,2000,1,28,96.03756481,35.67094527,117100,-1.220826483,-2.327900271,-4.377215601,-2.214633163,0.07427160189844072
29,2000,1,29,105.9722025,37.19338985,223884.9219,0.91634831,0.418985096,-2.342139855,-0.779232672,0.15446453991408696
30,2000,1,30,85.19105645,41.11736074,63599.75781,-2.072692841,-1.938233369,1.300867458,-1.109676303,0.03409419174139185
0,2005,2,31,116.4104734,40.18506957,397638.5,-3.657422957,-0.399848168,2.401134088,1.350113866,0.28494934685732304
1,2005,2,32,117.3328025,39.2945395,215800,-3.537927007,-0.17302197,2.564802503,1.682527877,0.14839295574984326
2,2005,2,33,115.0556983,38.8862,360106.0625,0.327908327,1.708889559,-0.236917802,2.588451282,0.25676337845972275
