cityID,time,t,fid,x,y,soil,PC1,PC2,PC3,PC4,es
22,2005,2,53,102.6923498,30.62979532,12680.75781,2.874063302,0.140132835,-1.52014598,-0.339243205,0.48491304015010434
23,2005,2,54,106.8741124,26.81589901,6842.48291,1.650727218,-0.323665362,-3.253651527,-0.756157957,0.260305580454843
24,2005,2,55,101.861664,24.22399975,15212.36914,1.819687146,0.335014474,-2.425130294,-0.299168095,0.5823080411575153
25,2005,2,56,88.44235547,31.49119642,9990.449219,-3.930621552,-0.544431995,-2.186606568,0.487933943,0.38141271021174394
26,2005,2,57,108.367283,33.77575343,5895.941406,1.740461127,1.233458432,-2.151450891,2.069718346,0.22389066571529
27,2005,2,58,96.43045075,40.50407365,3083.121338,-0.007120314,-0.201734554,-2.993002755,1.588051787,0.11567712988926501
28,2005,2,59,96.03756481,35.67094527,3534.34082,-3.050527055,-2.382472059,-3.969097624,0.658696117,0.13303624081722623
29,2005,2,60,105.9722025,37.19338985,447.0500793,0.194427246,0.093200813,-2.362733965,1.345807698,0.01426339395978742
30,2005,3,61,85.19105645,41.11736074,1303.986816,-2.732558458,-1.901356192,1.999907971,1.022498898,0.047231074798134744
0,2010,3,62,116.4104734,40.18506957,1691.622314,-2.662375619,1.954406384,3.109197983,1.948358198,0.06214401157908138
1,2010,3,63,117.3328025,39.2945395,109.2309189,-2.844561174,1.42456456,3.694400904,2.757799693,0.0012669686880294852
2,2010,3,64,115.0556983,38.8862,1124.542358,0.142200844,2.207986068,0.5821779,2.928867672,0.04032756912940149
3,2010,3,65,112.2910057,37.57371516,1666.71106,0.393783726,2.681354445,-2.415040607,1.964317818,0.0611856371320742
4,2010,3,66,111.624073,41.58407166,352.5068054,0.544309285,2.104313676,-1.946124122,0.47593588,0.010626168076170278
5,2010,3,67,124.0472795,41.55091067,2944.927734,-0.099354695,2.48704234,0.639140625,-0.598228535,0.11036060833585667
6,2010,3,68,126.1893961,43.66493432,2047.076416,0.93692093,3.552058663,-0.306789514,-0.925865167,0.07581888031273426
7,2010,3,69,128.135853,46.95166178,782.3769531,3.671334515,3.212154301,-2.499113898,-0.681215737,0.02716393711368576
8,2010,3,70,121.4151598,31.08465728,159.3500366,-1.655587908,-2.897072114,2.833278432,-0.87052206,0.00319512861567606
9,2010,3,71,120.5538215,32.20300618,250.2476349,1.952612444,-0.409369348,1.82879745,0.756097122,0.006692099723796253
10,2010,3,72,120.0709758,29.17555776,24078.40625,-2.36235985,-2.417672946,2.409268021,-1.931130565,0.9233981931202152
11,2010,3,73,117.2258163,31.82631484,5787.407227,2.515697387,0.232286467,-0.150190043,1.013178951,0.2197151880865643
12,2010,3,74,117.9817861,26.08380415,26069.53516,-1.246545029,-2.784744396,2.060085169,-2.402963197,1.0
13,2010,3,75,111.7080139,27.60713887,10404.39551,0.310700614,-2.044457571,-0.824653348,-3.544601154,0.3973378638683122
14,2010,3,76,115.7205187,27.61361806,12420.81543,0.638240019,1.38104072,2.643889796,2.995104766,0.4749126549954176
15,2010,3,77,118.1537918,36.35127141,663.835083,2.996014018,1.269248079,0.87438646,2.902562476,0.022603448139333654
16,2010,3,78,113.6135136,33.88226127,1584.133911,1.790269095,-1.499004918,0.866197381,-0.694976098,0.05800876656954431
17,2010,3,79,112.268591,30.97568911,10322.54102,1.137485934,-1.756820068,-0.02099646,-2.932021743,0.3941887951145351
18,2010,3,80,113.4276925,23.71031747,10347.65527,0.083153794,-2.342639074,0.907532759,-2.465813589,0.3951549791314356
19,2010,3,81,108.7866601,23.82858447,8874.820313,1.034111401,-1.856967054,-0.52245821,-2.197362521,0.3384927417568047
20,2010,3,82,109.74311,19.19713384,5888.851563,-0.944833299,-3.131161486,0.653872886,-2.399430401,0.2236179084962238
21,2010,3,83,107.8751823,30.05912925,15726.58398,0.997610021,-0.392597105,-1.039713499,-1.426979598,0.6020906808804247
22,2010,3,84,102.6923498,30.62979532,12412.8916,2.707437743,0.202326147,-1.000939255,-0.193085908,0.47460781300735755
23,2010,3,85,106.8741124,26.81589901,8575.576172,0.732843171,-0.406934373,-2.47040303,-1.005378326,0.32698035710723966
24,2010,3,86,101.861664,24.22399975,15194.12402,1.455677168,0.213709977,-1.936305807,-0.392120384,0.5816061231894122
25,2010,3,87,88.44235547,31.49119642,11929.25781,-6.644054668,-0.538332696,-0.339730687,1.108367373,0.4560016735474476
26,2010,3,88,108.367283,33.77575343,6464.02832,1.4863073,1.293922823,-1.195065621,2.164702977,0.2457458473956971
27,2010,3,89,96.43045075,40.50407365,3266.674072,-0.376283063,0.098309875,-1.963636475,1.753457379,0.12273868728593025
28,2010,3,90,96.03756481,35.67094527,3558.019531,-3.633143172,-2.209315528,-3.313622406,0.729773452,0.13394719742986677
29,2010,3,91,105.9722025,37.19338985,625.3605957,-0.438104648,0.10482611,-0.851278347,0.720076359,0.021123275142421395
30,2010,3,92,85.19105645,41.11736074,1285.59668,-2.066040752,-1.750294911,2.433911765,1.540842192,0.046523577840358675
0,2015,4,93,116.4104734,40.18506957,1663.453613,-3.855057228,1.034087604,4.884083134,1.602295389,0.061060318110908895
1,2015,4,94,117.3328025,39.2945395,109.2003021,-2.078551523,2.029481999,2.324270765,2.430859747,0.0012657908124087264
2,2015,4,95,115.0556983,38.8862,1028.223999,-0.016482094,2.479083832,1.28103596,2.864909604,0.036622052978216794
3,2015,4,96,112.2910057,37.57371516,1523.281616,-0.012197071,3.2200233,-1.09619193,1.795522157,0.05566768472076452
4,2015,4,97,111.624073,41.58407166,367.3787231,0.624283962,2.703322506,-0.51574252,0.48559801,0.011198313737792683
5,2015,4,98,124.0472795,41.55091067,1460.08667,-0.549435972,2.682322703,0.980442682,-0.522197499,0.05323647746695069
6,2015,4,99,126.1893961,43.66493432,1299.500366,0.672090658,4.021538279,0.776353243,-1.228177283,0.047058474131874604
7,2015,4,100,128.135853,46.95166178,721.6797485,3.121644206,3.962949106,-0.739192379,-0.919750474,0.024828821832319076
8,2015,4,101,121.4151598,31.08465728,205.7685089,-1.956052445,-2.970555589,2.89799678,-1.163999269,0.004980918994652195
9,2015,4,102,120.5538215,32.20300618,299.609314,1.793984764,-0.249551746,2.0649636,0.815101457,0.008591119817718804
10,2015,4,103,120.0709758,29.17555776,23389.13867,-2.69154414,-1.984547024,3.030000012,-1.470684254,0.8968810039083642
11,2015,4,104,117.2258163,31.82631484,6630.644531,2.015765279,0.486475038,0.956910271,1.279834441,0.2521558305735635
