cityID,time,t,fid,x,y,rhi,PC1,PC2,PC3,PC4
0,2000,1,0,116.4104734,40.18506957,0.08525677635559013,-0.815698238,1.536511563,0.988055503,-0.585875485
1,2000,1,1,117.3328025,39.2945395,0.05967875382924216,-0.699717761,1.370033088,-0.051716239,0.451360113
2,2000,1,2,115.0556983,38.8862,0.02989823324241854,1.502045455,1.79861424,-1.087995918,-0.484638475
3,2000,1,3,112.2910057,37.57371516,0.014969299653971667,1.053278852,0.998062056,-3.699543872,-0.91915469
4,2000,1,4,111.624073,41.58407166,0.018422551453061167,1.333184257,1.455953183,-3.831734876,-0.643522763
5,2000,1,5,124.0472795,41.55091067,0.02668769868893623,0.78038775,2.855516918,0.049663845,0.7444028
6,2000,1,6,126.1893961,43.66493432,0.01801342184700011,1.145383524,3.722010488,-0.396349383,0.069500154
7,2000,1,7,128.135853,46.95166178,0.02128750040040532,3.650601793,2.546984485,-3.362816498,0.804260552
8,2000,1,8,121.4151598,31.08465728,0.11108637061933782,-0.393448308,-1.791260266,2.148229315,1.40516844
9,2000,1,9,120.5538215,32.20300618,0.05896779022354727,2.625300403,-0.157773763,1.064639735,0.878102832
10,2000,1,10,120.0709758,29.17555776,0.07611894082569177,0.698100519,-0.654342924,-1.605154026,2.842298891
11,2000,1,11,117.2258163,31.82631484,0.01572349401371248,2.724196336,-0.223887637,-1.088836474,0.744901008
12,2000,1,12,117.9817861,26.08380415,0.0494726499071971,0.641097713,-1.128261065,-1.098937981,2.654562252
13,2000,1,13,111.7080139,27.60713887,0.02095102971228892,1.246567214,-1.376320128,-2.470315432,2.803991962
14,2000,1,14,115.7205187,27.61361806,0.03459475985967193,2.183920297,0.881885427,0.840261755,-1.123948359
15,2000,1,15,118.1537918,36.35127141,0.017058178438322864,3.180730765,0.459821727,-0.781666489,-1.249494242
16,2000,1,16,113.6135136,33.88226127,0.02442225092119268,2.558412231,-0.87737807,-0.862223055,0.970387951
17,2000,1,17,112.268591,30.97568911,0.022562026366072293,1.794602381,-0.684622575,-1.782096575,2.824627502
18,2000,1,18,113.4276925,23.71031747,0.060514461598720155,1.188744438,-0.891204642,-0.954963752,2.64557572
19,2000,1,19,108.7866601,23.82858447,0.013898947851991441,1.752937809,-0.693468701,-2.498811868,2.112955778
20,2000,1,20,109.74311,19.19713384,0.02217399128457582,0.468151615,-1.565008836,-3.709677591,2.034664418
21,2000,1,21,107.8751823,30.05912925,0.01462631831012545,2.56037373,0.677193667,-3.212939889,0.575637129
22,2000,1,22,102.6923498,30.62979532,0.01491695398190402,3.692125628,0.790228153,-1.848664036,0.608689123
